SNo,Project Name,Scheme Name,PI Details
1,Rural Technology Action Group (RuTAG) IIT Roorkee for the State of Uttarakhand,"DST, New Delhi",Dr. R.P. Gakkhar DST-475-AHC
2,Monitoring Hydro-abrasive erosion and suspended sediment for optimal operation of Hydropower plant,"NHPC, Faridabad",Dr. S.K. Singhal NPC-1282-AHC
3,Recycling of reverse osmosis reject water for co-production of high value metabolites and biofuel precursors using high density algad cultivation,"SERB, New Delhi",Dr. Sanjeev Kumar Prajapati IMP-1431-HRD
4,Development of microalgal biofilm reactor coupled constructed wetland (MBR-CW) system for decentralized waste water treatment,"USCS&T, Dehradun",Prof. Sanjeev Kumar Prajapati UST-1656-HRD
5,Development of solar powered decentralized fertilizer production cum-irrigation units,"DST, New Delhi",Prof. Pratham Arora DST-1714-HRD
6,Smart cyber - physical security of electric powertrains in autonomous e-mobility systems,"IHUB NTIHAC Foundation, IIT Kanpur",Prof. Deepak Ronanki INF-1754-HRD
7,Resource recovery and biofuel production through algae cultivation in hydroponic wastewater : pilot-scale studies towards circular bioeconomy,"SERB, New Delhi",Prof. Sanjeev Kumar Prajapati SER-1766-HRD
8,Modular and Reconfigurable High-power Fast Charging Topologies for Next-Generation e-Transportation Systems,"SERB, New Delhi",Prof. Deepak Rononki SER-1770-HRD
9,"Work order for the Efficiency/Performance testing of Mallapur Mini Hydel Scheme (2x4.5 MW) at Mallapur Village, Taluk- Gangavathi, Koppal-District, Karnataka",Engineered Power Resource India Pvt. Ltd. Banglore,Prof. Arun Kumar EPR-1775-HRD
10,Waste algae to biogas for clean energy and environment techno-environ-economic prospects,"DST, New Delhi",Prof. Sanjeev Kumar Prajapati DST-1786-HRD
11,Collaborative engagement for evaluation of torrefied biomass product application in Soil,Takachar (Himalayan Sustainable energy solutions private limited),Prof. SonalK. Thengane TKC-1791-HRD
12,Innovative lightweight cylindrical PEM fuel cells based on conducting plastic,"SERB, New Delhi",Prof. Amit Chandrakant Bhosale SER-1804-HRD
