SNo,Project Name,Scheme Name,PI Details
13,Machine Learning-based dynamic climate projections for power system planning datasets,University of Colorado Boulder,Prof. Himanshu Jain UCB-1847-HRD
14,Water for welfare: An Uttaranchal Initiative set up as a Virtual Centre in the form of Federation with its Secretariat at IIT Roorkee,Govt. of Uttaranchal,Prof. Arun Kumar AUI-171-AHC
15,"Training of technicians for system design, installation, operation, maintenance and repair of renewable energy systems at grass root level-jal Urja Mitra Programme (Small Hydro)","Ministry of New and Renewable Energy, New Delhi",Prof. Arun Kumar MNE-1877-HRD
16,Exploring low-Carbon transportation pathways for India,New Venture Fund-FNCE- Indian Institute of Technology,Prof. Pratham Arora NVF-1887-HRD
17,Development of National Scheme for advanced grid-scale energy storage technologies,"New Venture Fund, Washington DC, USA",Prof. Arun Kumar NVF-1906-HRD
18,Development of advanced nanocomposite proton exchange membrane based fuel cells suitable for automobile applications,"Schaeffler India Limited, Baner, Pune, Maharashtra",Prof. Amit Bhosale SIL-1956-HRD
19,Circular economy based framework for cattle shelters operating biogas plants,"SERB, New Delhi",Prof. Sonal K. Thengane SER-1934-HRD
20,Ecological health indicator assessment of significant water sources in uttarakhand,"Indian National Science Academy, New Delhi",Prof. Sanjeev kumar Prajapati INS-1981-HRD
21,Block chain based P2P energy trading platorm for rooftop solar PV Users,"IIT Bhilai Innovation and technology foundation (IBITF) Raipur, Chattisgarh",Prof. Rhythm Singh IBI-2055-HRD
22,Research partnership agreement between WIPRO Ltd. And IIT Roorkee,"MNRE , NEW DELHI",Prof. Arun Kumar MNE-2057-HRD
23,Zero Peak Energy Building Design for India (ZED-i),DST New Delhi,Dr. Rajasekar Elangovan DST-1161-APD
24,"Mission Innovation- Affordable Heating and cooling of Buildings Innovation challenge - resource unit for scientific and Technical Analysis, Management and Coordination","DST, New Delhi",Dr. E. Rajasekar DST-1415-APD
25,An integrated framework for disaster risk reduction and climate change adaption,"ICSSR, New Delhi",Prof. Ram Sateesh Pasupuleti ICS-1545-APD
26,Design and Development of a decision support system for early identification of Deaf and Hard of Hearing Neonates and Infants in Rural India,"ICMR, New Delhi",Prof. SonalAtreya ICM-1798-APD
27,Benchmark Survey and Developing Tribal Development Index,Dr. Ramdayal Munda Tribal Welfare Research Institute,Prof. Harshit SosanLakra TRI-1819-APD
28,Designing a prototype settlement for a contemporary sustainable town as per the prescriptions of vaastushastra,"Indian Knowledge systems division AICTE, MOE",Prof. Avlokita Agarwal IKS-1885-APD
29,Study of learning spaces using mobile EEG neurofeedback to understand the impact of different built-environment stimuli on cognition,"SERB, New Delhi",Prof. Prabhjot Singh Chani SER-1913-APD
30,Climate resilient energy secure and healthy built environment (CREST),British Council (Funds released to University of Bath),Prof. Rajasekar Elangovan UOB-1916-APD
31,"Global urban planning educational consortium collaboration agreement b/w the university of new castle upon tyne & IIT Roorkee & School of planning of Architecture, Delhi","Collaboration agreement b/w the university of New Castle upon tyne & IIT Roorkee & School of Planning of Architecture, Delhi",Prof. Arindam Biswas NCU-1931-APD
32,A Comprehensive GIS-based toolkit for investigating the cultural routes of bhotia’s trade routes in uttarakhand,"DST, New Delhi",Prof. Ram Sateesh Pasupuleti DST-2017-APD
33,A semi-analytical Method for hyperbolic conservation Law : application to Riemann problem,"SERB, New Delhi",Prof. Rajan Arora SER-1843-ASE
34,To investigate approximate controllability results of impulsive differential systems,"CSIR, New Delhi",Prof. Jaydev CSR-1697-ASE
35,Controllability results of semi-linear impulsive differential equations,"DAE, Mumbai",Prof. JaydevDabas DAE-1705-ASE
36,Solutions of some non-linear evolution equations using homotopy analysis method,Uttarakhand state council for science and technology,Prof. Rajan Arora UST-1820-ASE
37,An experimental investigation of the formulation to reduce the foaming issues in high-speed printing by the addition of a sustainable catalyst,UFLEX LTD. (Chemical Division Noida),Prof. Millie Pant UFL-2015-ASE
38,In Vitro Cell based Characterization at some Synthetic drugs for anti-cancer /other activities,"Michigan Diagnostic, Michigan, USA",Dr. Partha Roy MDM-1204-BIO
39,Mitigation of food borne pathogens using combination of natural food grade peptides decorated on nanoparticles; development of safe and active antimicrobial packaging film.,"STAR, MHRD, Bangalore",Dr. N.K. Navani STR-1493-BIO
40,Investigating gene regulatory networks operating downstream of OsAP/ERF – 40 during rice adventitious root development,"SERB, New Delhi",Prof. Shri Ram Yadav SER-1525-BIO
41,Discovery of structure – based antivirals against SARS-Cov2 targeting key viral genome replication enzymes,"SERB, New Delhi",Prof. Pravindrakumar SER-1548-BIO
42,Enyme engineering for bio-degradation of plasticizers in PPCPS,"DST, New Delhi",Prof. Pravindra Kumar DST-1551-BIO
43,Prospecting and assessment of certain indigenous recipes of badritulsi from aridwarc highlands,"USCS&T, Dehradun",Prof. N.K. Navani UST-1594-BIO
44,“Assess the role of Indian mustard honey towards management and cure of drugs resistance colon cancer and its metastasis singly or in combination with potent drugs”,"National Bee Board, New Delhi",Prof. Partha Roy NBB-1634-BIO
45,Role of integrin and GTPases associated signaling cascades in innate immune cell activation and migration during sepsis,"SERB, New Delhi",Prof. P.P. Sarangi SER-1647-BIO
46,DBT M.ScProgramme,"DBT, New Delhi",Prof. Debabrata Sircar  DBT-1650-BIO
47,Protein Nanoparticles based development of universal influenza vaccine,"SERB, New Delhi",Prof. ShaillyTomar SER-1651-BIO
48,Antivirals against chikungunya virus targeting Rna Viral Capping Machinery,"ICMR, New Delhi",Prof. ShaillyTomar ICM-1654-BIO
49,Non-invasive early sensing of soft rot and dry rot in stored potato tubers by analysis of volatile organic compound emission,"SERB, New Delhi",Prof. Debabrata Sircar SER-1660-BIO
50,"Translational and structural Bioinformatics – BIC at Department of Biotechnology, Indian Institute of Technology, Roorkee","DBT, New Delhi",Prof. PravindraKumar DBT-1677-BIO
51,Screening Bee stings for aridwarcs against bacteremia by streptococcus pneumoniae in children,"DBT, New Delhi",Prof. Srinivas Kiran Ambatipudi DBT-1683-BIO
52,Scale -up and pre-pilot-scale bioethanol fractional from lignocellulosic biomass by fractional hydrolysis and co-fermentation,"DBT, New Delhi",Prof. Sanjoy Ghosh DBT-1724-BIO
53,Enhanced lipid production by genetically engineered algal strain : scale-up cultivation and engineering for co-production of value-added isoprenoids,"DBT, New Delhi",Prof. R.P. Singh DBT-1726-BIO
54,"Development of a comprehensive in vitro and in vivo study design for understanding the pathophysiology of bipolardisorder, associated biomarkers for its probable diagnosis and nutraceutical based therapeutic intervention","SKAN Research Trust, Puducherry",Prof. Partha Roy SKN-1741-BIO
55,Epigenetic regulation of Cell fate transition during crown root initiation in rice,"SERB ,New Delhi",Prof. Shri Ram Yadav SER-1763-BIO
56,Phenotypic characterization and gene mapping of novel early rice flowering mutants during the floral transition and seed formation,"SERB, New Delhi",Prof. Shri Ram Yadav SER-1777-BIO
57,"Development and validation of phone-based App, SwasthGarbh, for improving antenatal care (ameliorating material and fetal health","ICMR, New Delhi",Prof. Deepak Sharma ICM-1795-BIO
58,Elucidating the genetic architecture of tillering in wheat through CRISPR/CAS based editing of Ideal Plant Architecture gene (IPA1) and TEOSINTE BRANCHED 1 (TB1),"DBT, New Delhi",Prof. Harsh Chauhan DBT-1806-BIO
59,Elucidating the molecular mechanisms and biomarkers associated with progression and prognosis of retinoblastoma,"SERB, New Delhi",Prof. Krishna Mohan Poluri SER-1807-BIO
60,India Alliance Fellowship,Welcome Trust India Alliance,Prof. Ranjana Pathania TIA-1815-BIO
61,Investigating the mechanisms of L1 retrotransposon activation in oral squamous cell carcinoma (OSCC),"SERB, New Delhi",Prof. Prabhat Kumar Mandal SER-1823-BIO
62,In Vitro screening and efficacy of plant growth promoting rhizobacteria and biocontrol agents in selected vegetable crops to support farmers in aridwarc state,Uttarakhand state council for science and technology,Prof Naveen Kumar Navani UST-1824-BIO
63,Development of a membrane based kit to find out L1 retrotransposon activity in oral squamous cell carcinoma (OSCC),Uttarakhand state council for science and technology,Prof. Prabaht Kumar Mandal UST-1826-BIO
64,To study the prevalence phylogency and virulence of linezolid resistant enterococcus facclum in hospital acquired infections and environment,"ICMR, New Delhi",Prof. Ranjana Pathania ICM-1857-BIO
65,A Comprehensive strategy for enhancing production and alleviating AMR burden on poultry sector via probiotics and alternatives of antibiotics,"DBT, New Delhi",Prof. Naveen Kumar Navani DBT-1859-BIO
66,Bioprocess development for the production of poultry feed from agro residues by solid state co-fermentation,"Ministry of Fisheries, Animal Husbandry and Dairying",Prof. Sanjoy Ghosh DAH-1867-BIO
67,For comprehensive and scientific validation of nutritional biological and stability properties of high altitude indian honey samples from north-eastern and western himalayan region,"National Bee Board, Ministry of Agriculture & Farmers",Prof. Partha Roy NBB-1876-BIO
68,Development of Indigenous synbiotic beverage to boost gut health and immunity,"Uttarakhand Council for Biotechnology, Department of Agriculture , Govt. of Uttarakhand",Prof. Naveen Kumar Navani UCB-1892-BIO
69,Modelling mitochondrial network in pancreatic B-cells for better therapeutic design,"Chellaram Diabetes Research Centre, Pune",Prof. Jitin Singla CDR-1900-BIO
70,A comparative metabolomics approach for the analyses of scab-disease resistance in apple and development of a metabolite based non invasive sensor for early scab disease diagnosis,"Indian Council of agricultural research (ICAR) National Agricultural science fund (NASF) , New Delhi",Prof. Debabrata Sircar NAS-1924-BIO
71,Alignment and clustering of 3D cryo-electron subtomorgrams using SFSC (Spectral Signal – to noise ratio- based fourier shell correlation scoring function for improved reinforcement and structure resolution,"SERB, New Delhi",Prof. Jitin Singla SER-1955-BIO
72,Role of reactive in trans-synaptic transfer of abnormal,"SERB, New Delhi",Prof. Sachin Suresh Tiwari SER-1989-BIO
73,Biofortification of millets for enhancement of micronutrients and bioavailability using probiotic yeast & bacteria,"Indian Council Medical research, New Delhi",Prof. Naveen kumar Navani ICM-2003-BIO
74,Fabrication of bioabsorable rigid internal fixation system using indigenous bioynthesised polymer,"ICMR, New Delhi",Prof. Saugata Hazra ICM-2023-BIO
75,Understanding retrotrans poson machinery through the delineation of the LINE1-RNP complex composition in mice germ tissue,"DBT, New Delhi",Prof. Prabhat kumar Mandal DBT-2025-BIO
76,Computer-aided structure-based molecular engineering or nanobodies against SARS-COV-2 Spike Protein,"ICMR, New Delhi",Prof. Shailly Tomar ICM-2030-BIO
77,Conservation and divergence in the function and regulatory networks downstream of PLETHORA genes in the control of different branching events in rice,Indo-french centre for the promotion of advanced research (IFCPAR)/Department of science & technology,Prof. Shri Ram Yadav CEF-2056-BIO
78,I.I.T. Roorkee & N.B.C.C. Joint R&D Centre at GNEC Campus,"NBCC, New Delhi",Dr. Umesh Kr. Sharma NBC-849-CED
79,Increase in Expenditure limit of MOSRT&H Professorial chair by utilization of interest,Endowment Fund Interest of MoSRT&H Professional Chair,Dr. M. Parida IIT-1114-CED
80,Anaerobic Co-digestion of Organic Fraction of municipal Solid waste and sewage Sludge Effect of the thermo-chemical pretreatment on process performance and microbial community development,"DBT, New Delhi",Dr. Vinay Kumar DBT-1197-CED
81,Development of a design-through-analysis methodology based on isogeometrictechnology : Application to phase-field Fracture and topology optimization,"SERB, New Delhi",Dr. Rajib Chowdhury SER-1507-CED
82,RAP Incorporated Geopolymer concrete technology,IIT Roorkee,Prof. G.D. Ransinchung IIT-1520-CED
83,Topology Optimization of large scale engineering structures : numerical simulations and experimental investigations,"DRDO, New Delhi",Prof. Rajib Chowdhury DRD-1523-CED
84,SARASWATI 2.0 Identifying best aridwar technologies for decentralized wastewater treatment and resource recovery for india,"DST, New Delhi",Prof. A.A. Kazmi DST-1529-CED
85,Development of sustainable concrete utilizing mine waste rock,Hindustan Zinc Ltd. Udaipur,Prof. Sonalisa Ray HZL-1537-CED
86,Fracture and Fatigue studies in textile based auxetic composite,"ISRO, Bengaluru",Prof. Anupam Chakrabarti STC-1560-CED
87,Mapping dynamic air pollution information to the choices of the travelers towards sustainable transport,"SERB, New Delhi",Prof. Amit Agarwal SER-1578-CED
88,Polyphasic aridwar of diversity of phototrophic microorganisms from cold environments and their bioprospection potential,"DST, New Delhi",Prof. Raja Chowdhury DST-1589-CED
89,Advanced oxidation process for complete attenuation of pathogens and antimicrobial resistance in municipality supplied ground water,"DST, New Delhi",Prof. Gargi Singh DST-1609-CED
90,Halting the release of antimicrobial resistance,"SERB, New Delhi",Prof. Gargi Singh SER-1622-CED
91,Modelling simulations and dynamics fracture,"DRDO, Chandigarh",Prof. Sonalisa Ray DRD-1671-CED
92,Behaviour of soil slopes with embedded pipeline subjected to blast loading and liquefaction effects,"DAE, Mumbai",Prof. Kaustav Chatterjee DAE-1694-CED
93,Fracture performance of Reinforced concrete members in coupled corrosion and fatigue environment,"SERB, New Delhi",Prof. Sonalisa Ra y SER-1700-CED
94,Assessment of GEOPAVE additive efficacy as a potential stabilizer for road works,M/S Garg Son’s Estate PeromotersPvt. Ltd. Chandigarh,Prof. G.D. RansinchungR.N. GEP-1708-CED
95,Guidelines for micro-piles for mitigation of landslides or slope stabilization,"NDMA, New Delhi",Prof. Priti Maheshwari NDM-1712-CED
96,Development of guidelines for use of waste reclaimed water in pavement construction,"Ministry of Road transport &Highway ,New Delhi",Prof. Nikhil Saboo MRH-1730-CED
97,Submerged vanes for river training and sediment management in streams and their field application,"Ministry of ports, Shipping and waterways",Prof. Zulfequar Ahmad MSR-1740-CED
98,Hindon Roots sensing HIROS River Rejuvenation through scalable water- and Solute Balance Modelling and informed Farmers Actions,"DST, New Delhi",Prof. R. Vinnarasi DST-1743-CED
99,Replenishment study of aridwar and its tributaries in aridwarc state,"Director, Geology and Mining, Chattisgarh",Prof. Zulfequar Ahmad GMC-1750-CED
100,Probabilistic analysis of failure criteria of rocks under triaxial state of stress,"SERB, New Delhi",Prof. Priti Maheshwari SER-1756-CED
101,Computational multiscale modeling as a virtual experimental setup for prediction of elastic and inelastic response of unidirectional fibre reinforced polymer composites,"DRDO, New Delhi",Prof. ShubhankarRoy Chowdhury DRD-1759-CED
102,Multiscale virtual testing and experiments of FRP composites for high-speed train and infrastructure applications,"SERB ,New Delhi",Prof. ShubhankarRoy Chowdhury SER-1762-CED
103,Rapid Estimation of flood extents using synthetic aperture radar and deep learning,"SERB, New Delhi",Prof. Alok Bhardwaj SER-1772-CED
104,Comprehensive characterization of variably processed sewage sludge in ganga basin to classify its suitability for safe disposal,Central Pollution Control Board,Prof. A.A. Kazmi CPC-1787-CED
105,Advanced transport Modelling and Simulation of National Highways in Inida under CATTS,"Indian academy of Highway Engineers (IAHE), Noida",Prof. Amit Agarwal IAH-1789-CED
106,Effects of sludge modification on treatment efficiency of algae-based wastewater treatment : batch and continuous sudy and sustainability assessment of the same as an emerging technology,"SERB, New Delhi",Prof. Raja Chowdhury SER-1802-CED
107,Artificial intelligent and remote sensing for nature solutions : from urban trees to landscapes,Habitat Montreal Canada,Prof. Siddhartha Khare HBM-1871-CED
108,Evaluation of efficacy of Georoadchem for cement treated base employing FDR technique,M/S KGM Technology (PVT.) Ltd. (New Delhi),Prof. G.D. Ransinchung R.N. KGM-1882-CED
109,Financial assistance for organizing training and Skill internship (VRITIKA) Unravelling the cause and evolution of Meteorological Drought in India Under Changing Climate,"SERB, New DELHI",Prof. R. Vinnarasi SER-1898-CED
110,Utilization of Industrial wastes in Dense and Gap Graded Asphalt mixes as fIllers,"DST, New Delhi",Prof. Nikhil Saboo (CO-PI) BHU-1901-CED
111,Assessing the suitability of warm mix asphalt (WMA) Technology using Tribological and performance characteristics,"SERB, New Delhi",Prof. Nikhil Saboo SER-1909-CED
112,Development of Specifications for use of water plastic in asphalt mixtures : a major step towards building sustainable road infrastructure,"National Rural Infrastructure Development Agency (NRIDA), New Dehli",Prof. Nikhil Saboo NRD-1933-CED
113,Interlinked seasonal evolution of supraglacial lakes and ice velocity changes of glaciers in greenland,"ISRO, Bengaluru",Prof. Saurabh Vijay STC-1936-CED
114,Structural fire performance of Ignisilex malta 4 Protection Mortar,MAPEI Construction products India Pvt. Ltd.,Prof. Umesh kumar Sharma MCP-1962-CED
115,Identiying Current & future GLOF risk over contrasting topographic and climate zones of indian himalya using earth observations date and modeling,"Ministry of Earth Sciences, New Delhi",Prof. Saurabh Vijay MOE-1976-CED
116,SERB N-PDF,"SERB, New DELHI",Prof. Indrajit Ghosh SER-1982-CED
117,SERB N-PDF,"SERB, New DELHI",Dr. Ritvik Dhanraj Chauhan SER-1988-CED
118,Design - flood estimation for resilient hydraulic structures under changing climate and environment,"SERB, New Delhi",Prof. Vinnarasi Rajendran SER-2026-CED
119,Reliability based design of tunnels in anisotropic spatially variable residual soil slopes,"SERB, New Delhi",Prof. Akansha Tyagi SER-2040-CED
120,Maximizing carbon sequestration in cement-based construction through material innovation and additive manufacturing,"DST , New Delhi",Prof. Anjaneya Dixit DST-2052-CED
121,Investigations on selective proliferation and transport of antibiotic resistant bacteria (ARBs) by micro plastics,"ICMR, New Delhi",Prof. Sudipta Sarkar ICM-2053-CED
122,AI- Based Geo-enabled crop insurance and farm equipment renting solutions under bhoomi cam pvt. Ltd start up,"IIT Bhilai Innovation and technology foundation (IBITF) Raipur, Chattisgarh",Prof. Siddhartha Khare IBI-2054-CED
123,FIST Grant,"DST, New Delhi",Head DST-1347-CHD
124,One step treatment of metal contaminated waste water with co-synthesis of nano-metal carbon hybrids and generation of H2 rich fuel gas mixture,"SERB, New Delhi",Prof. N.Siva Mohan Reddy SER-1612-CHD
125,SERB-N-PDF,"SERB, New Delhi",Ms. Geetanjli SER-1646-CHD
126,Study of Segregation behavior of Non-spherical particles in a vibrating Packed Bed using Discrete element method and radioactive particle tracking,"SERB, New Delhi",Prof. Anshu Anand SER-1675-CHD
127,Scale up studies on In-situ Co-hydrothermal synthesis of gaseous fuels and nanometal carbon hybrids from metal contaminated waste water and biomass,"DST, New Delhi",Prof. N.Siva Mohan Reddy DST-1711-CHD
128,Simultaneous recalcitrant pollutant degradation coupled with carbon dioxide conversion to value-added fuels in a photoelectrochemical cell,"SERB, New Delhi",Prof. Ashish Yadav SER-1764-CHD
129,"Studying drug diffusion in multiresponsive, multilayered polymeric materials for applications in oral and ocular delivery","SERB, New Delhi",Prof. Prateek Kumar Jha SER-1765-CHD
130,Extended forchheimer type modified darcys’ law for a combination of a porous and non-porous system for non-newtonian fluids for coating applications,"SERB, New Delhi",Prof. Amit Kumar Dhiman SER-1835-CHD
131,Biomass Gasification through plasma pyrolysis technology for chemicals production,"MNRE, New Delhi",Prof. Vimal Kumar MNE-1861-CHD
132,Prototype development to treat pesticide residue in surface water bodies in rural areas,"Ministry of Jal shakti, Department of Driniking water and sanitation",Prof. Sumana Ghosh MJS-1954-CHD
133,Optimization of the performance of rotary kiln to maximize percentage metallization including use of natural gas/syngas as reductant,"Bureau of energy efficiency, New Delhi",Prof. Shabina Khanam BEE-1969-CHD
134,Development of Physics models for capacity fade prediction of the battery for oorja,Oorja Energy Bangalore,Prof. Ashwini kumar Sharma OEB-1984-CHD
135,Reduced order model development for state of charge estimation in a lithium ion battery management system,"SERB, New Delhi",Prof. Ashwini kumar Sharma SER-2008-CHD
136,synthesis of novel antibacterial nanometal carbon hybrids agents along with H2 from waste biomass,"DBT, New Delhi",Prof. Siva Mohan Reddy Narapureddy DBT-2013-CHD
137,studies on development of low GWP chemicals,"MINISTRY OF ENVIRONMENT FOREST AND CLIMATE CHANGE OZONE CELL, NEW DELHI",Prof. V.C. Srivastava MFC-2018-CHD
138,development of biodegradable intracameral implants and drug-loaded inro,"SERB, New Delhi",Prof. Prateek kumar Jha SER-2019-CHD
139,Synergistic design and thermal performance analysis of a liquid coded microfluidic thermal management system for a lithium-ion battery pack for electric vehicles,"SERB, New Delhi",Prof. Ram prakash bharti SER-2033-CHD
140,water powered safe and affordable zinc sulfar battery,"Tata Steel Limited Chennai, Tamil Nadu",Prof. Ashwini kumar Sharma TSL-2048-CHD
141,INSPIRE Faculty Award,"DST, New Delhi",Dr. Dheeraj Kumar DST-1302-CMD
142,FIST Grant,"DST, New Delhi",Head DST-1384-CMD
143,Ramanujan Fellowship,"SERB, New Delhi",Dr. Ravindra Pandey SER- 1414-CMD
144,Probing the molecular orientation and charge transfer dynamics at interfaces for the design and fabrication of more efficient optoelectronics devices,"STAR, MHRD, New Delhi",Prof. Ravindra Pandey STR-1521-CMD
145,Heteroatoms enriched nanopours materials for high performance supercapacitos applications in non-aqueous medium,"ISRO, Bengaluru",Prof. Paritosh Mohanty STC-1565-CMD
146,Inspire Faculty Award,"DST, New Delhi",Prof. Pavan Kr. B.V.V.S DST-1590-CMD
147,Dynamic and reconfigurable self-assembly of active microcompartments at oil water interface,"SERB, New Delhi",Prof. Pavan Kumar B.V.V.S SER-1604-CMD
148,chemical proteomic approach to identify small molecule superoxide dismutase (SoD) Inhibitors for cancer therapeutics,"SERB, New Delhi",Prof. Venkatesh V. SER-1606-CMD
149,Removal of lead toxicity from halide perovskite nanocrystals in ambient condition,"SERB, New Delhi",Prof. Prasenjit Kar SER-1607-CMD
150,Synthesis of p Extended corroles chlorins and porphyrins for anion sensing catalysis Nonlinear optical and solar cell applications,"SERB, New Delhi",Prof. Muniappan Sankar SER-1625-CMD
151,Conversion of biomass from flora of aridwarc into high valued products like biofuels using green and sustainable,"USCS&T, Dehradun",Prof. Anuj Sharma UST-1664-CMD
152,Unprecedented Bifunctional Strategies for Harnessing CO2 for Enantioselective organic transformations : Application towards the synthesis of Antidepressant Drugs Rolipram and Paroxetine,"SERB, New Delhi",Prof. Debasis Banerjee SER-1744-CMD
153,Design and synthesis of advanced energetic materials using metal catalyzed cross- coupling,"SERB, New Delhi",Prof. Dheeraj Kumar SER-1749-CMD
154,Harnessing dienaminal and dienaminone intermediates for the synthesis of nitrogenous and other frame works,"SERB, New Delhi",Prof. R.K. Peddinti SER-1751-CMD
155,Metal-free boron-based catalysts for direct conversion of alkanes of aldehydes and alkanes of aldehydes and alkenes : role of catalyst at the electronic level in product selectivity,"SERB, New Delhi",Prof. Puneet Gupta SER-1753-CMD
156,INSPIRE Faculty Fellowship,"DST, New Delhi",Dr. YadagiriDongari DST-1788-CMD
157,Functional gold Nanoclusters and AU(I) complexes for therapeutic applications,"CSIR, New Delhi",Prof. V. Venkatesh CSR-1810-CMD
158,Synthesis of MESO/B-Functionalized Porphyrins for solar cell and catalytic applications,"CSIR, New Delhi",Prof. M.Sankar CSR-1814-CMD
159,Enantio-and diastereo selective cascade synthesis of poly-heterocyclic chiral compounds,"SERB, New Delhi",Prof. Gnanamani Elumalai SER-1817-CMD
160,Spatiotemporal control over aridwar between artificial micro-compartments with a reversible coatcervate glue,"Indo-French Centre for the Promotion of Advanced Research (IFCPAR), New Delhi",Prof. Pavan Bosukonda CEF-1822-CMD
161,Novel synthesis and application of metallocarbenes derived from crabonyl compounds,"SERB, New DELHI",Prof. Yadagiri Dongari SER-1997-CMD
162,High entropy solid electrolyte for next generation battery technology with high energy and power density,"SERB, New DELHI",Prof. Swastika Banerjee SER-2000-CMD
163,visible light driven synthesis of fused o-heterocycles via radical cross coupling methodologies,"SERB, New DELHI",Prof. Anuj Sharma SER-2001-CMD
164,Organic emitters with heterocyclic acceptors for thermally activated delayed fluorescence and room temperature phosphorescence applications,"SERB, New DELHI",Prof. K.R. Justin Thomas SER-2002-CMD
165,INSPIRE Faculty Fellowship,"DST, New Delhi",Prof. Sayanti Chatterjee DST-2042-CMD
166,National Initiative for Design Innovation,"MHRD, New Delhi",Dr. A.K. Sharma MHR-1247-DIC
167,Visvesvaraya PhD Scheme for Electronics and IT.,"Media Lab Asia, Mumbai",Dr. Durga Toshniwal MIT-1100-CSE
168,Award of Young Faculty Research Fellowship,"Media Lab Asia, Mumbai",Dr. Sandeep Kumar MIT-1242-CSE
169,INSPIRE Faculty award Programe,"DST, New Delhi",Dr. Pradumn Kumar Pandey DST-1401-CSE
170,"Design and development of quantum computing toolkit (simulator, workbench) and capacity building","MIETY, New Delhi",Dr. SugataGangopadhyay MIT-1511-CSE
171,Software defined controlled and dynamic traffic load balanced scheduling framework for IoT enabled intelligent transportation system(ITS),"SERB, New Delhi",Prof. Neetesh Kumar SER-1572-CSE
172,The research project Sow Towards intelligent data placement using AI&ML,"Huawei Technologies India Private Limited, Bengaluru",Prof. Durga Toshniwal HIT-1652-CSE
173,Automated cognitive metrics classification framework to improve human machine collaboration LSRB-376,"DRDO, New Delhi",Prof. ParthaPratim Roy DRD-1659-CSE
174,Development of early breast cancer detection system with microwave imaging technique,"DST, New Delhi",Prof. Dharmendra Singh DST-1674-CSE
175,Iot based automated real time and effective traffic signal scheduling for smart city,"DST, New Delhi",Prof. NeeteshKumar DST-1690-CSE
176,Design and development of a software tool for digitalization and investigation of microstructure of materials using computer vision and machine learning,"SERB, New Delhi",Prof. Sandeep Kumar SER-1816-CSE
177,Methods to test and rate AI services for trust with an aridw Perspective,"SERB, New Delhi",Prof. Sandeep Kumar SER-1853-CSE
178,Multilingual Recognition & Interpreatation,Ministry of Electronics & Information Technology,Prof. Partha Pratim Roy MIT-1870-CSE
179,Intel One API research Proposal,Intel Corporation United States,Prof. Durga Toshniwal ITC-1889-CSE
180,Landslide monitoring forecasting and mitigation system,"ISRO, Bengaluru",Prof. R. Balasubramanian STC-1938-CSE
181,Smart device services diagnostic capabilities,"HP, Inc United States",Prof. Partha Pratim Roy HPI-1963-CSE
182,Dynamic Graph Algorithms for Pangenomics,"SERB, New Delhi",Prof. Shahbaz Khan SER-1975-CSE
183,NBHM Post Doctoral Fellowship,"DAE, Mumbai",Prof. Saugata Gangopadhyay (MENTOR) DAE-1985-CSE
184,SERB-TARE (Teachers Associateship for reserch excellence),"SERB, New DELHI",Dr. Manikandan V M SER-1991-CSE
185,emergency aware intelligent dynamic traffic signal system for smart cities,"CSIR, NEW DELHI",Prof. Neetesh Kumar CSR-2010-CSE
186,Varietal classification of seeds using deep learning and INR Hyperspectral Imaging Technique,"SERB, New Delhi",Prof. R. Balasubramanian SER-2029-CSE
